epoch,accuracy,loss,lr,precision_11,recall_11,val_accuracy,val_loss,val_precision_11,val_recall_11
0,0.805722713470459,0.9262572526931763,1e-04,0.81556236743927,0.7455542087554932,0.7961333394050598,0.8888677358627319,0.7951266169548035,0.7788000106811523
1,0.8140000104904175,0.8010792136192322,1e-04,0.8174710273742676,0.8085333108901978,0.7929333448410034,0.8466764092445374,0.795288622379303,0.7697333097457886
2,0.8268485069274902,0.6998879313468933,1e-04,0.8425021171569824,0.8067923784255981,0.786133348941803,0.8375387787818909,0.8048532605171204,0.7385333180427551
3,0.8206666707992554,0.6939716339111328,1e-04,0.8573087453842163,0.7874666452407837,0.7526666522026062,0.8564485907554626,0.8052690029144287,0.6765333414077759
4,0.8312000036239624,0.6192364692687988,1e-04,0.8774703741073608,0.7991999983787537,0.791866660118103,0.784034788608551,0.8102354407310486,0.7662666440010071
5,0.8438293933868408,0.591472327709198,1e-04,0.8878380656242371,0.8033159375190735,0.7906666398048401,0.7828897833824158,0.8293119072914124,0.7423999905586243
6,0.8461333513259888,0.5757340788841248,1e-04,0.8755939602851868,0.8108000159263611,0.7907999753952026,0.7348744869232178,0.8316156268119812,0.7315999865531921
7,0.8666666746139526,0.5087483525276184,1e-04,0.8866685032844543,0.8460000157356262,0.8181333541870117,0.6713775992393494,0.8322634696960449,0.795199990272522
8,0.8642866611480713,0.5037888884544373,1e-04,0.8891705274581909,0.8442305326461792,0.8191999793052673,0.6522939205169678,0.8368546366691589,0.7974666953086853
9,0.8741333484649658,0.48284292221069336,1e-04,0.8893198370933533,0.8560000061988831,0.7900000214576721,0.698175311088562,0.8151431679725647,0.747866690158844
10,0.8793333172798157,0.45458468794822693,9.0483736e-05,0.8960066437721252,0.8615999817848206,0.8259999752044678,0.6250405311584473,0.845086395740509,0.7957333326339722
11,0.8741810321807861,0.45163694024086,8.187306e-05,0.8929961323738098,0.8592057824134827,0.828000009059906,0.6089532971382141,0.8416402339935303,0.8127999901771545
12,0.8848000168800354,0.40754491090774536,7.408181e-05,0.9007180333137512,0.8697333335876465,0.8073333501815796,0.6373935341835022,0.8344438076019287,0.7681333422660828
