epoch,accuracy,loss,precision_3,recall_3,val_accuracy,val_loss,val_precision_3,val_recall_3
0,0.8256250023841858,0.8097198605537415,0.8271293640136719,0.8193749785423279,0.7929166555404663,0.862604558467865,0.7930818796157837,0.7929166555404663
1,0.8143749833106995,0.7998477220535278,0.8141427040100098,0.8131250143051147,0.7922916412353516,0.8606575727462769,0.7922916412353516,0.7922916412353516
2,0.8256250023841858,0.7536647915840149,0.8256250023841858,0.8256250023841858,0.7918750047683716,0.8674322366714478,0.7920399904251099,0.7918750047683716
3,0.8081250190734863,0.8179821968078613,0.8081250190734863,0.8081250190734863,0.7906249761581421,0.8609681129455566,0.7907073497772217,0.7906249761581421
4,0.8062499761581421,0.8052904009819031,0.8062499761581421,0.8062499761581421,0.7865625023841858,0.868084192276001,0.786644458770752,0.7865625023841858
5,0.8068749904632568,0.8086474537849426,0.8068749904632568,0.8068749904632568,0.7909374833106995,0.8469468951225281,0.7911022901535034,0.7909374833106995
6,0.8174999952316284,0.7693232893943787,0.8174999952316284,0.8174999952316284,0.7945833206176758,0.8452555537223816,0.7946661114692688,0.7945833206176758
7,0.815625011920929,0.7607824206352234,0.815625011920929,0.815625011920929,0.7913541793823242,0.8500809073448181,0.7914366126060486,0.7913541793823242
8,0.8037499785423279,0.808087944984436,0.8037499785423279,0.8037499785423279,0.78927081823349,0.8491268754005432,0.78935307264328,0.78927081823349
9,0.8112499713897705,0.7680164575576782,0.8111319541931152,0.8106250166893005,0.7929166555404663,0.8313001990318298,0.7929166555404663,0.7929166555404663
10,0.8187500238418579,0.741303026676178,0.8186366558074951,0.8181250095367432,0.7900000214576721,0.8533583283424377,0.7900822758674622,0.7900000214576721
11,0.8318750262260437,0.6919923424720764,0.8318750262260437,0.8318750262260437,0.7911458611488342,0.8427592515945435,0.7912282347679138,0.7911458611488342
12,0.8112499713897705,0.7454515695571899,0.8112499713897705,0.8112499713897705,0.7934374809265137,0.8428552150726318,0.7936028242111206,0.7934374809265137
