epoch,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.7512500286102295,1.9392858743667603,0.767532467842102,0.7387499809265137,0.7993749976158142,0.8850259184837341,0.7993749976158142,0.7993749976158142
1,0.7612500190734863,1.4119261503219604,0.7737321257591248,0.7437499761581421,0.792187511920929,0.9456064105033875,0.792187511920929,0.792187511920929
2,0.7287499904632568,1.124169945716858,0.758434534072876,0.7024999856948853,0.7993749976158142,0.8950868844985962,0.7993749976158142,0.7993749976158142
3,0.8149999976158142,0.8801437616348267,0.8239158987998962,0.7837499976158142,0.8003125190734863,0.8193386197090149,0.8003125190734863,0.8003125190734863
4,0.78125,0.9572731256484985,0.806010901927948,0.737500011920929,0.7809374928474426,0.9310131669044495,0.7956989407539368,0.6937500238418579
5,0.8137500286102295,0.7983497381210327,0.8286100029945374,0.7674999833106995,0.7981250286102295,0.8908926248550415,0.8068031668663025,0.7634375095367432
6,0.800000011920929,0.8598499894142151,0.8119999766349792,0.7612500190734863,0.8028125166893005,0.7777311205863953,0.8087535500526428,0.796875
7,0.8287500143051147,0.7515480518341064,0.8527442812919617,0.7962499856948853,0.7909374833106995,0.786481499671936,0.8042982816696167,0.7718750238418579
8,0.8087499737739563,0.7819188833236694,0.8259705305099487,0.7712500095367432,0.778124988079071,0.8617725968360901,0.8056679964065552,0.6840624809265137
9,0.8274999856948853,0.7224319577217102,0.8444148898124695,0.793749988079071,0.793749988079071,1.1431604623794556,0.7944305539131165,0.7934374809265137
10,0.8362500071525574,0.6830146312713623,0.8509804010391235,0.8137500286102295,0.7971875071525574,0.7890434861183167,0.806325376033783,0.7728124856948853
11,0.8337500095367432,0.7243684530258179,0.8571428656578064,0.8025000095367432,0.8006250262260437,0.8842985033988953,0.8018244504928589,0.7965624928474426
12,0.8025000095367432,0.7704028487205505,0.8297587037086487,0.7737500071525574,0.7931249737739563,0.7960668206214905,0.8223201036453247,0.699999988079071
13,0.8550000190734863,0.6520497798919678,0.8754966855049133,0.8262500166893005,0.7724999785423279,0.7716353535652161,0.8139616250991821,0.7287499904632568
