epoch,accuracy,loss,lr,precision_6,recall_6,val_accuracy,val_loss,val_precision_6,val_recall_6
0,0.8116000294685364,0.8967410326004028,1e-04,0.8181557655334473,0.7618666887283325,0.7916049361228943,0.8901981115341187,0.7913684248924255,0.7877954244613647
1,0.8186666369438171,0.7715194821357727,1e-04,0.8249390721321106,0.8123999834060669,0.7696648836135864,0.85826575756073,0.7984089255332947,0.7292416095733643
2,0.8250666856765747,0.6915882229804993,1e-04,0.8584250211715698,0.7906666398048401,0.77897709608078,0.8151941299438477,0.8074624538421631,0.743492066860199
3,0.8371999859809875,0.6139693260192871,1e-04,0.8779027462005615,0.8014666438102722,0.7883597612380981,0.776320219039917,0.8121949434280396,0.7630335092544556
4,0.8405333161354065,0.585701048374176,1e-04,0.8827988505363464,0.8074666857719421,0.8026807904243469,0.784792423248291,0.8097617626190186,0.7888535857200623
5,0.861466646194458,0.5204359292984009,1e-04,0.8846803903579712,0.8377333283424377,0.7607760429382324,0.7849052548408508,0.8012572526931763,0.7013756632804871
6,0.8725333213806152,0.4829517900943756,1e-04,0.8871546983718872,0.8564000129699707,0.8241269588470459,0.6807869672775269,0.8336851596832275,0.8080423474311829
7,0.8740000128746033,0.46584606170654297,1e-04,0.8885525465011597,0.8610666394233704,0.8297707438468933,0.6394225358963013,0.8548250794410706,0.7842680811882019
8,0.8750666379928589,0.44328823685646057,1e-04,0.8908814787864685,0.8610666394233704,0.8290652632713318,0.6088727116584778,0.850321352481842,0.8027513027191162
9,0.8829333186149597,0.41533738374710083,1e-04,0.899474561214447,0.8673333525657654,0.8338624238967896,0.5807872414588928,0.8424647450447083,0.8265961408615112
10,0.8861333131790161,0.39046624302864075,9.0483736e-05,0.8999450206756592,0.8730666637420654,0.8297001719474792,0.5789005160331726,0.8530226945877075,0.8033156991004944
11,0.8957333564758301,0.36050161719322205,8.187306e-05,0.909153401851654,0.8820000290870667,0.8411287665367126,0.5478383898735046,0.852973222732544,0.8287830948829651
12,0.8931999802589417,0.34641191363334656,7.408181e-05,0.9074962139129639,0.8829333186149597,0.8203880190849304,0.5756528377532959,0.8528512716293335,0.7870899438858032
13,0.8967999815940857,0.33008313179016113,6.7031986e-05,0.9090535640716553,0.884933352470398,0.8335802555084229,0.5698060989379883,0.8588764071464539,0.8088889122009277
14,0.8986666798591614,0.318488210439682,6.0653045e-05,0.9124467968940735,0.8865333199501038,0.8264549970626831,0.5487427115440369,0.8608005046844482,0.787442684173584
15,0.9086666703224182,0.2998611032962799,5.488114e-05,0.9200000166893005,0.8985333442687988,0.8287830948829651,0.5680598020553589,0.8447632193565369,0.8142504692077637
16,0.9125333428382874,0.2878930866718292,4.9658505e-05,0.924572229385376,0.9005333185195923,0.8322398662567139,0.5489034652709961,0.8544049859046936,0.8114285469055176
17,0.9187999963760376,0.2753729820251465,4.4932873e-05,0.9285129308700562,0.9074666500091553,0.8309699892997742,0.522790789604187,0.8633723258972168,0.8073368668556213
