bbox_bounds,winsize
"(581, 0, 1135, 554)",554
"(581, 193, 1135, 747)",554
"(581, 387, 1135, 941)",554
"(581, 581, 1135, 1135)",554
"(581, 775, 1135, 1329)",554
"(581, 969, 1135, 1523)",554
"(581, 1163, 1135, 1717)",554
"(581, 1357, 1135, 1911)",554
"(581, 1551, 1135, 2105)",554
"(581, 1745, 1135, 2299)",554
"(581, 1939, 1135, 2493)",554
"(581, 2132, 1135, 2686)",554
"(775, 0, 1329, 554)",554
"(775, 193, 1329, 747)",554
"(775, 387, 1329, 941)",554
"(775, 581, 1329, 1135)",554
"(775, 775, 1329, 1329)",554
"(775, 969, 1329, 1523)",554
"(775, 1163, 1329, 1717)",554
"(775, 1357, 1329, 1911)",554
"(775, 1551, 1329, 2105)",554
"(775, 1745, 1329, 2299)",554
"(775, 1939, 1329, 2493)",554
"(775, 2132, 1329, 2686)",554
"(969, 0, 1523, 554)",554
"(969, 193, 1523, 747)",554
"(969, 387, 1523, 941)",554
"(969, 581, 1523, 1135)",554
"(969, 775, 1523, 1329)",554
"(969, 969, 1523, 1523)",554
"(969, 1163, 1523, 1717)",554
"(969, 1357, 1523, 1911)",554
"(969, 1551, 1523, 2105)",554
"(969, 1745, 1523, 2299)",554
"(969, 1939, 1523, 2493)",554
"(969, 2132, 1523, 2686)",554
"(1163, 0, 1717, 554)",554
"(1163, 193, 1717, 747)",554
"(1163, 387, 1717, 941)",554
"(1163, 581, 1717, 1135)",554
"(1163, 775, 1717, 1329)",554
"(1163, 969, 1717, 1523)",554
"(1163, 1163, 1717, 1717)",554
"(1163, 1357, 1717, 1911)",554
"(1163, 1551, 1717, 2105)",554
"(1163, 1745, 1717, 2299)",554
"(1163, 1939, 1717, 2493)",554
"(1163, 2132, 1717, 2686)",554
"(1357, 0, 1911, 554)",554
"(1357, 193, 1911, 747)",554
"(1357, 387, 1911, 941)",554
"(1357, 581, 1911, 1135)",554
"(1357, 775, 1911, 1329)",554
"(1357, 969, 1911, 1523)",554
"(1357, 1163, 1911, 1717)",554
"(1357, 1357, 1911, 1911)",554
"(1357, 1551, 1911, 2105)",554
"(1357, 1745, 1911, 2299)",554
"(1357, 1939, 1911, 2493)",554
"(1357, 2132, 1911, 2686)",554
"(0, 0, 832, 832)",832
"(0, 193, 832, 1025)",832
"(0, 387, 832, 1219)",832
"(0, 581, 832, 1413)",832
"(0, 775, 832, 1607)",832
"(0, 969, 832, 1801)",832
"(0, 1163, 832, 1995)",832
"(0, 1357, 832, 2189)",832
"(0, 1551, 832, 2383)",832
"(0, 1745, 832, 2577)",832
"(0, 1939, 832, 2771)",832
"(193, 0, 1025, 832)",832
"(193, 193, 1025, 1025)",832
"(193, 387, 1025, 1219)",832
"(193, 581, 1025, 1413)",832
"(193, 775, 1025, 1607)",832
"(193, 969, 1025, 1801)",832
"(193, 1163, 1025, 1995)",832
"(193, 1357, 1025, 2189)",832
"(193, 1551, 1025, 2383)",832
"(193, 1745, 1025, 2577)",832
"(193, 1939, 1025, 2771)",832
"(387, 0, 1219, 832)",832
"(387, 193, 1219, 1025)",832
"(387, 387, 1219, 1219)",832
"(387, 581, 1219, 1413)",832
"(387, 775, 1219, 1607)",832
"(387, 969, 1219, 1801)",832
"(387, 1163, 1219, 1995)",832
"(387, 1357, 1219, 2189)",832
"(387, 1551, 1219, 2383)",832
"(387, 1745, 1219, 2577)",832
"(387, 1939, 1219, 2771)",832
"(581, 0, 1413, 832)",832
"(581, 193, 1413, 1025)",832
"(581, 387, 1413, 1219)",832
"(581, 581, 1413, 1413)",832
"(581, 775, 1413, 1607)",832
"(581, 969, 1413, 1801)",832
"(581, 1163, 1413, 1995)",832
"(581, 1357, 1413, 2189)",832
"(581, 1551, 1413, 2383)",832
"(581, 1745, 1413, 2577)",832
"(581, 1939, 1413, 2771)",832
"(775, 0, 1607, 832)",832
"(775, 193, 1607, 1025)",832
"(775, 387, 1607, 1219)",832
"(775, 581, 1607, 1413)",832
"(775, 775, 1607, 1607)",832
"(775, 969, 1607, 1801)",832
"(775, 1163, 1607, 1995)",832
"(775, 1357, 1607, 2189)",832
"(775, 1551, 1607, 2383)",832
"(775, 1745, 1607, 2577)",832
"(775, 1939, 1607, 2771)",832
"(969, 0, 1801, 832)",832
